Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 2; End: 10; Interval: 1; Threshold: 1; Measurements per block: 30

Number of blocks: 2
Number of cycles: 48217936; error? 1
Number of cycles: 48218020; error? 1
Number of cycles: 48218300; error? 1
Number of cycles: 48218233; error? 1
Number of cycles: 48217966; error? 1
Number of cycles: 48218210; error? 1
Number of cycles: 48218099; error? 1
Number of cycles: 48218401; error? 1
Number of cycles: 48218235; error? 1
Number of cycles: 48218693; error? 1
Number of cycles: 48217744; error? 1
Number of cycles: 48218446; error? 1
Number of cycles: 48218430; error? 1
Number of cycles: 48218597; error? 1
Number of cycles: 48218278; error? 1
Number of cycles: 48218421; error? 1
Number of cycles: 48218234; error? 1
Number of cycles: 48218162; error? 1
Number of cycles: 48218782; error? 1
Number of cycles: 48217798; error? 1
Number of cycles: 48218075; error? 1
Number of cycles: 48217779; error? 1
Number of cycles: 48218249; error? 1
Number of cycles: 48218033; error? 1
Number of cycles: 48218286; error? 1
Number of cycles: 48218070; error? 1
Number of cycles: 48218083; error? 1
Number of cycles: 48218407; error? 1
Number of cycles: 48217739; error? 1
Average: 48218180.000000
Standard deviation: 270.697876

Number of blocks: 9
Number of cycles: 49234322; error? 1
Number of cycles: 49234243; error? 1
Number of cycles: 49233927; error? 1
Number of cycles: 49233925; error? 1
Number of cycles: 49233954; error? 1
Number of cycles: 49234112; error? 1
Number of cycles: 49234256; error? 1
Number of cycles: 49234035; error? 1
Number of cycles: 49233869; error? 1
Number of cycles: 49234161; error? 1
Number of cycles: 49233850; error? 1
Number of cycles: 49233998; error? 1
Number of cycles: 49233906; error? 1
Number of cycles: 49233726; error? 1
Number of cycles: 49234154; error? 1
Number of cycles: 49234128; error? 1
Number of cycles: 49233735; error? 1
Number of cycles: 49234123; error? 1
Number of cycles: 49234236; error? 1
Number of cycles: 49234159; error? 1
Number of cycles: 49234092; error? 1
Number of cycles: 49234018; error? 1
Number of cycles: 49234261; error? 1
Number of cycles: 49233994; error? 1
Number of cycles: 49233737; error? 1
Number of cycles: 49233824; error? 1
Number of cycles: 49234007; error? 1
Number of cycles: 49234000; error? 1
Number of cycles: 49234471; error? 1
Number of cycles: 49233903; error? 1
Average: 49234044.000000
Standard deviation: 180.591629

Number of blocks: 10
Number of cycles: 50290053; error? 1
Number of cycles: 50288543; error? 1
Number of cycles: 50288472; error? 1
Number of cycles: 50288456; error? 1
Number of cycles: 50289246; error? 1
Number of cycles: 50288710; error? 1
Number of cycles: 50288875; error? 1
Number of cycles: 50289066; error? 1
Number of cycles: 50288926; error? 1
Number of cycles: 50288807; error? 1
Number of cycles: 50288622; error? 1
Number of cycles: 50288777; error? 1
Number of cycles: 50288932; error? 1
Number of cycles: 50288822; error? 1
Number of cycles: 50288797; error? 1
Number of cycles: 50288998; error? 1
Number of cycles: 50288952; error? 1
Number of cycles: 50289164; error? 1
Number of cycles: 50289314; error? 1
Number of cycles: 50289116; error? 1
Number of cycles: 50289274; error? 1
Number of cycles: 50288924; error? 1
Number of cycles: 50289032; error? 1
Number of cycles: 50288850; error? 1
Number of cycles: 50289535; error? 1
Number of cycles: 50289072; error? 1
Number of cycles: 50288990; error? 1
Number of cycles: 50289319; error? 1
Number of cycles: 50289016; error? 1
Number of cycles: 50289087; error? 1
Average: 50288988.000000
Standard deviation: 316.722382


Program received signal SIGINT, Interrupt.
main () at main_cw521.c:476
476	  while (true) {
